Model,Accuracy,Precision,Recall,F1,ROC-AUC
GARCH,0.8312 ± 0.0943,0.7720 ± 0.1669,0.5057 ± 0.2372,0.5820 ± 0.2256,0.8585 ± 0.0733
LSTM,0.8262 ± 0.0730,0.6520 ± 0.2751,0.6474 ± 0.1789,0.6395 ± 0.2149,0.8519 ± 0.0903
